Descricao;Tipo SP;Centro Custo;Item Contab.;Data Pgto;Codigo Forn.;Loja Fornec;Valor;Juros;Multa;Tipo Pgto;Observacoes;Numero NF;Serie NF;D. Emiss NF;Natureza;Pedido Comp.;Loja Fatura;CC.Despesa;It.Cont.Desp;Saldo Solic.;Competencia;Rateio ?;Forma Pgto;Desconto;Finalidade
RelaçãoNotasProtege202410_Transporte_210_NFE_114786;000020;10202;;27/11/2024;00005036;01;524,25;0;0;3;;000114786;; 73/10/2024;;;04 0212;10903;0212;;;N;1;;8
RelaçãoNotasProtege202410_Transporte_210_NFE_114787;000020;10202;;27/11/2024;00005036;01;312,69;0;0;3;;000114787;; 72/10/2024;;;04 0023;10903;0023;;;N;1;;8
RelaçãoNotasProtege202410_Transporte_211_NFE_53327;000020;10202;;27/11/2024;00022627;01;626,90;0;0;3;;000053327;; 00/00/2024;;;04 0073;10903;0073;;;N;1;;8
RelaçãoNotasProtege202410_Transporte_211_NFE_53328;000020;10202;;27/11/2024;00022627;01;540,62;0;0;3;;000053328;; 00/00/2024;;;04 0224;10903;0224;;;N;1;;8
RelaçãoNotasProtege202410_Transporte_211_NFE_53358;000020;10202;;27/11/2024;00022627;01;242,71;0;0;3;;000053358;;22/10/2024;;;04 0245;10903;0245;;;N;1;;8
RelaçãoNotasProtege202410_Tesouraria_226_NFSE_33355;000020;10202;;27/11/2024;00024949;01;7,77;0;0;3;;000033355;;22/10/2024;;;04 0287;10903;0287;;;N;1;;8
RelaçãoNotasProtege202410_Tesouraria_226_NFSE_33356;000020;10202;;27/11/2024;00024949;01;4,97;0;0;3;;000033356;;22/10/2024;;;04 0275;10903;0275;;;N;1;;8
RelaçãoNotasProtege202410_Tesouraria_226_NFSE_33357;000020;10202;;27/11/2024;00024949;01;10,35;0;0;3;;000033357;;22/10/2024;;;04 0293;10903;0293;;;N;1;;8
RelaçãoNotasProtege202410_Tesouraria_249_NFE_28692;000020;10202;;27/11/2024;00048327;01;88,59;0;0;3;;000028692;; 22/10/2024;;;04 0097;10903;0097;;;N;1;;8
RelaçãoNotasProtege202410_Tesouraria_253_NFE_2404926;000020;10202;;27/11/2024;00048341;01;228,71;0;0;3;;020244926;; 22/10/2024;;;04 0118;10903;0118;;;N;1;;8
