MASSIVO;COD. FORN.;CNPJ;FORNECEDOR;COD. LOJA;ITEM LOJA;LOJA;SIGLA;DATA DE APROVAÇÃO ;OS;RESPONSÁVEL;NF;EMISSÃO ;VENCIMENTO;DATA LANÇAMENTO ;TIPO DE SP;TIPO DE PAG.;FORMA DE PAG.;FINALIDADE;RATEIO ;CENTRO DE CUSTO;CC.DESPESA;ÁREA;CLASSIFICAÇÃO ;CATEGORIA;TIPO;ORÇAMENTO ;PROJETO CAPEX;DISTRITO;COORDENADOR;REGIONAL;VALOR;DESCRIÇÃO ;CNPJ LOJA1;CNPJ LOJA2
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0078;0078;PETZ JARDIM ICARAÍ;JDIC-RJ;01/11/2022;PREVENTIVA;PIETRA;000105314;13/11/2024;24/04/2024;04/04/2024;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.797,38 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. NOVEMBRO/22;18328118018237;18.328.118/0182-37
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0174;0174;PETZ ILHA DO GOVERNADOR;ILHG-RJ;01/11/2022;PREVENTIVA;PIETRA;000107983;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;;CONTRATOS;;RJ-ES;MARYANE;R1; R$ 456,10 ;MANUTENÇÃO PREVENTIVA;18328118016960;18.328.118/0169-60
567688;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0151;0151;PETZ VILA MARIANA;VLMA-SP;24/11/2022;567688;;;;;;000005;3;1;8;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;SP2;FELICIO;R3; R$ 1.200,00 ;TESTES E RECARGA DE FLUÍDO REFRIGERANTE EM EQUIPAMENTO Q ATENDE AO CPD;18328118014835;18.328.118/0148-35
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0039;0039;CENTRO DE DISTRIBUICAO;CDEM-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;CD;MARYANE;CD; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118003809;18.328.118/0038-09
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0208;0208;PETZ AVENIDA ANGELICA;ANGL-SP;01/12/2022;PREVENTIVA;PIETRA;000105412;13/11/2023;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP2;FELICIO;R3; R$ 741,65 ;MANUTENÇÃO PREVENTIVA;18328118019551;18.328.118/0195-51
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0154;0154;PETZ BOTAFOGO POLIDORO;BFGO-RJ;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.197,37 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118015483;18.328.118/0154-83
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0230;0230;PETZ CAMPO GRANDE RIO;CGDR-RJ;01/12/2022;PREVENTIVA;PIETRA;000107979;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 724,68 ;MANUTENÇÃO PREVENTIVA;18.328.118/0241-21;18.328.118/0241-21
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0094;0094;PETZ COPACABANA;CPCB-RJ;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.197,37 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118008940;18.328.118/0089-40
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0020;0215;PETZ EXTRA BARRA DA TIJUCA;BRTJ-RJ;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.224,66 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118000370;18.328.118/0003-70
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0063;0063;PETZ MARACANÃ;MCNA-RJ;01/12/2022;PREVENTIVA;PIETRA;000107318;03/01/2024;20/03/2024;06/03/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ-ES;MARYANE;R1; R$ 400,00 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118006301;18.328.118/0063-01
